"stratum_i","plot_sp","species_j","tree_l","volume","bcef_r","cf","d","a_sp","a_sp_m2","a_I_m2","a_I_ha"
"1",1,"Sp1","t1",3.3,0.7,0.5,0.5,0.1,1000,5000,0.5
"1",1,"Sp1","t2",4.8,0.7,0.5,0.5,0.1,1000,5000,0.5
"1",1,"Sp1","t3",4.08,0.7,0.5,0.5,0.1,1000,5000,0.5
"1",2,"Sp4","t1",1.5,0.7,0.5,0.5,0.1,1000,5000,0.5
"1",2,"Sp4","t2",1.68,0.7,0.5,0.5,0.1,1000,5000,0.5
"2",1,"Sp1","t1",1.38,0.7,0.5,0.5,0.1,1000,5000,0.5
"2",1,"Sp2","t2",3.24,0.7,0.5,0.5,0.1,1000,5000,0.5
"2",1,"Sp3","t3",3.72,0.7,0.5,0.5,0.1,1000,5000,0.5
"2",1,"Sp4","t4",2.94,0.7,0.5,0.5,0.1,1000,5000,0.5
"2",1,"Sp5","t5",3.36,0.7,0.5,0.5,0.1,1000,5000,0.5
